                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.48713,                0.40638,                0.89593,                0.92313,                0.94589,                0.97261,                0.89578,                 0.4367,                0.38083,                0.82113,              0.0012462,              0.0012462,              0.0012462
                     53,                0.48707,                0.41587,                0.87864,                 0.9176,                0.96207,                0.98167,                0.89628,                0.46245,                0.42651,                0.83494,              0.0012379,              0.0012379,              0.0012379
                     54,                0.47742,                0.39869,                0.89084,                0.91096,                0.94308,                0.97384,                0.89475,                0.44466,                 0.4267,                0.82674,              0.0012297,              0.0012297,              0.0012297
                     55,                0.48345,                0.40283,                0.89226,                0.92997,                0.90563,                0.96801,                0.90535,                0.41319,                  0.402,                0.81044,              0.0012214,              0.0012214,              0.0012214
                     56,                0.48682,                0.40489,                0.89056,                0.93347,                0.92838,                0.97341,                0.89886,                0.41705,                0.35277,                0.81324,              0.0012132,              0.0012132,              0.0012132
                     57,                0.49184,                0.39272,                0.89328,                0.91862,                0.92173,                0.96552,                0.89001,                0.44429,                0.41686,                0.81473,              0.0012049,              0.0012049,              0.0012049
                     58,                 0.5102,                0.39708,                0.89638,                0.93393,                0.88746,                0.96789,                0.89141,                0.44077,                0.45897,                0.81497,              0.0011967,              0.0011967,              0.0011967
                     59,                0.49271,                0.39318,                 0.9045,                0.89588,                0.99143,                0.98241,                0.90974,                0.41722,                0.36587,                 0.8071,              0.0011884,              0.0011884,              0.0011884
                     60,                0.46683,                0.38065,                 0.8827,                0.90068,                 0.9927,                0.98385,                0.92234,                0.40902,                0.35447,                0.81209,              0.0011802,              0.0011802,              0.0011802
                     61,                0.47657,                0.38325,                0.89701,                  0.923,                0.94565,                0.97172,                0.90671,                0.43474,                0.38448,                0.82484,              0.0011719,              0.0011719,              0.0011719
                     62,                0.46544,                0.39171,                0.87987,                 0.9509,                0.92958,                0.98239,                0.91072,                0.40048,                0.33757,                0.81956,              0.0011636,              0.0011636,              0.0011636
